챔피언명,챔피언_ID,API_이름,별명,난이도,주_직업군,보조_직업군,사용_자원,기본_능력치,공격_형태,출시일,출시_패치,최근_변경_패치,세부_역할군,추천_포지션,실제_활용_포지션,피해량,내구력,군중_제어,기동력,보조_능력,공격_성향,적응형_능력치,파랑_정수_가격,RP_가격,패시브_스킬,Q_스킬,W_스킬,E_스킬,R_스킬,전체_스킬,본명,별칭
미스 포츈,21.0,MissFortune,현상금 사냥꾼,1,원거리 딜러,마법사,마나,"{'기본_체력': 640, '레벨당_체력': 103, '기본_자원': 300, '레벨당_자원': 40, '기본_방어력': 25, '레벨당_방어력': 4, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 3.75, '레벨당_체력_재생': 0.65, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 53, '레벨당_공격력': 2.4, '기본_공격_속도': 0.656, '레벨당_공격_속도': 3, '공격_사거리': 550, '이동_속도': 325, '탐색_반경': 800, '선택_높이': 122.22219848632812, '선택_반경': 100, '충돌_반경': 35, '공격_속도_계수': 0.656000018119812, '공격_지연_보정': -0.151993364095687, '투사체_속도': 2000, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05}, '아레나': {'레벨당_체력': 10, '레벨당_공격력': 1.2}, '궁극기_주문서': {'가하는_피해': 1.05, '받는_피해': 0.95}}",원거리,2010-09-08,V1.0.0.100,V25.03,{원거리 딜러},{바텀},{바텀},3,1,1,1,1,30,물리,225,260,{1: '사랑의 한 방'},{1: '한 발에 두 놈'},"{1: '활보', 2: '활보 (변형 2)'}",{1: '총알은 비를 타고'},{1: '쌍권총 난사'},"['사랑의 한 방', '한 발에 두 놈', '활보', '활보 (변형 2)', '총알은 비를 타고', '쌍권총 난사']",사라 포츈,미스 포츈
모데카이저,82.0,Mordekaiser,강철의 망령,2,전사,마법사,보호막,"{'기본_체력': 645, '레벨당_체력': 104, '기본_자원': 0, '레벨당_자원': 0, '기본_방어력': 37, '레벨당_방어력': 4.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 5, '레벨당_체력_재생': 0.75, '기본_자원_재생': 0, '레벨당_자원_재생': 0, '기본_공격력': 61, '레벨당_공격력': 4, '기본_공격_속도': 0.625, '레벨당_공격_속도': 1, '공격_사거리': 175, '이동_속도': 335, '탐색_반경': 400, '선택_높이': 190, '선택_반경': 125, '충돌_반경': 35, '게임플레이_반경': 80, '공격_속도_계수': 0.625, '공격_시전_시간': 0.5, '총_공격_시간': 2.36599993705749, '공격_지연_보정': -0.100000001490116, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.02}, '단일_챔피언': {'가하는_피해': 0.95, '받는_피해': 1.05}, '초고속_모드': {'받는_피해': 0.85}, '궁극기_주문서': {'받는_피해': 1.05}}",근접,2010-02-24,V1.0.0.75,V25.12,{돌격형 전사},{탑},{탑},3,2,1,1,2,80,마법,675,585,{1: '암흑 탄생'},{1: '말살'},"{1: '불멸', 2: '불멸 (변형 2)'}",{1: '죽음의 손아귀'},{1: '죽음의 세계'},"['암흑 탄생', '말살', '불멸', '불멸 (변형 2)', '죽음의 손아귀', '죽음의 세계']",산 우잘,
모르가나,25.0,Morgana,타락한 자,1,마법사,서포터,마나,"{'기본_체력': 630, '레벨당_체력': 104, '기본_자원': 340, '레벨당_자원': 60, '기본_방어력': 25, '레벨당_방어력': 5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.4, '기본_자원_재생': 11, '레벨당_자원_재생': 0.4, '기본_공격력': 56, '레벨당_공격력': 3.5, '기본_공격_속도': 0.625, '레벨당_공격_속도': 1.53, '공격_사거리': 450, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 145, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.159999996423721, '투사체_속도': 1600, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.1}, '돌격_넥서스': {'가하는_피해': 0.95, '받는_피해': 1}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.05}}",원거리,2009-02-21,Alpha Week 2,V25.09,{포획형},{서포터},{서포터},2,1,3,1,2,100,마법,675,585,{1: '영혼 흡수'},{1: '어둠의 속박'},{1: '고통의 그림자'},{1: '칠흑의 방패'},{1: '영혼의 족쇄'},"['영혼 흡수', '어둠의 속박', '고통의 그림자', '칠흑의 방패', '영혼의 족쇄']",,
나피리,950.0,Naafiri,백 번 무는 사냥개,1,암살자,전사,마나,"{'기본_체력': 610, '레벨당_체력': 105, '기본_자원': 400, '레벨당_자원': 55, '기본_방어력': 28, '레벨당_방어력': 4.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 7.5, '레벨당_체력_재생': 0.7, '기본_자원_재생': 7.5, '레벨당_자원_재생': 1, '기본_공격력': 55, '레벨당_공격력': 2, '기본_공격_속도': 0.663, '레벨당_공격_속도': 2.1, '공격_사거리': 125, '이동_속도': 340, '탐색_반경': 400, '선택_높이': 191.6667022705078, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.125, '무작위_총력전': {'가하는_피해': 1.1, '스킬_가속': 10}, '아레나': {'레벨당_체력': 20}}",근접,2023-07-19,V13.14,V25.11,{암살자},{미드},{미드},3,1,1,3,1,70,물리,675,585,{1: '늘어나는 무리'},{1: '다르킨 단검'},{1: '무리의 부름'},{1: '적출'},{1: '사냥개의 추적'},"['늘어나는 무리', '다르킨 단검', '무리의 부름', '적출', '사냥개의 추적']",,
나미,267.0,Nami,파도 소환사,2,서포터,마법사,마나,"{'기본_체력': 560, '레벨당_체력': 88, '기본_자원': 365, '레벨당_자원': 43, '기본_방어력': 29, '레벨당_방어력': 5.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 11.5, '레벨당_자원_재생': 0.4, '기본_공격력': 54, '레벨당_공격력': 3.1, '기본_공격_속도': 0.644, '레벨당_공격_속도': 2.61, '공격_사거리': 550, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 180, '선택_반경': 125, '충돌_반경': 35, '공격_속도_계수': 0.643999993801116, '공격_지연_보정': -0.11999999731779, '투사체_속도': 1500, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.05, '회복량': 1}, '단일_챔피언': {'가하는_피해': 1.05, '받는_피해': 0.93, '회복량': 1.2}}",원거리,2012-12-07,V1.0.0.152,V14.24,{강화형 보조술사},{서포터},{서포터},1,1,3,1,2,90,마법,1575,790,{1: '밀려오는 파도'},{1: '물의 감옥'},{1: '밀물 썰물'},{1: '파도 소환사의 축복'},{1: '해일'},"['밀려오는 파도', '물의 감옥', '밀물 썰물', '파도 소환사의 축복', '해일']",,
나서스,75.0,Nasus,사막의 관리자,1,전사,탱커,마나,"{'기본_체력': 631, '레벨당_체력': 104, '기본_자원': 326, '레벨당_자원': 62, '기본_방어력': 34, '레벨당_방어력': 4.7, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9, '레벨당_체력_재생': 0.9, '기본_자원_재생': 7.45, '레벨당_자원_재생': 0.5, '기본_공격력': 67, '레벨당_공격력': 4, '기본_공격_속도': 0.638, '레벨당_공격_속도': 3.48, '공격_사거리': 125, '이동_속도': 350, '탐색_반경': 350, '선택_높이': 170, '선택_반경': 135, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.638000011444091, '공격_지연_보정': -0.0986036509275436, '무작위_총력전': {'가하는_피해': 0.9, '받는_피해': 1.05}, '돌격_넥서스': {'가하는_피해': 0.95}, '궁극기_주문서': {'받는_피해': 0.95}}",근접,2009-10-01,V0.9.25.24,V25.03,{돌격형 전사},{탑},{탑},2,3,2,1,1,20,물리,675,585,{1: '영혼의 포식자'},{1: '흡수의 일격'},{1: '쇠약'},{1: '영혼의 불길'},{1: '사막의 분노'},"['영혼의 포식자', '흡수의 일격', '쇠약', '영혼의 불길', '사막의 분노']",,
노틸러스,111.0,Nautilus,심해의 타이탄,2,탱커,서포터,마나,"{'기본_체력': 646, '레벨당_체력': 100, '기본_자원': 400, '레벨당_자원': 47, '기본_방어력': 39, '레벨당_방어력': 4.95, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8.65, '레벨당_자원_재생': 0.5, '기본_공격력': 61, '레벨당_공격력': 3.3, '기본_공격_속도': 0.706, '레벨당_공격_속도': 1, '공격_사거리': 175, '이동_속도': 325, '탐색_반경': 400, '선택_높이': 180, '선택_반경': 125, '충돌_반경': 50, '게임플레이_반경': 80, '공격_속도_계수': 0.611999988555908, '공격_지연_보정': 0.00637254910543561, '무작위_총력전': {'가하는_피해': 0.95, '받는_피해': 1.1}}",근접,2012-02-14,V1.0.0.134,V25.04,{선봉대},{서포터},{서포터},1,3,3,1,1,80,마법,2400,880,{1: '강력한 일격'},{1: '닻줄 견인'},{1: '타이탄의 분노'},{1: '역조'},"{1: '폭뢰', 2: '폭뢰 (변형 2)'}","['강력한 일격', '닻줄 견인', '타이탄의 분노', '역조', '폭뢰', '폭뢰 (변형 2)']",,
니코,518.0,Neeko,알쏭달쏭 카멜레온,1,마법사,서포터,마나,"{'기본_체력': 610, '레벨당_체력': 104, '기본_자원': 450, '레벨당_자원': 30, '기본_방어력': 21, '레벨당_방어력': 5.2, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 7.5, '레벨당_체력_재생': 0.75, '기본_자원_재생': 7, '레벨당_자원_재생': 0.7, '기본_공격력': 48, '레벨당_공격력': 2.5, '기본_공격_속도': 0.625, '레벨당_공격_속도': 3.5, '공격_사거리': 550, '이동_속도': 340, '탐색_반경': 600, '선택_높이': 300, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.67, '공격_시전_시간': 0.3100000023841858, '총_공격_시간': 1.54999995231628, '투사체_속도': 2000, '단일_챔피언': {'가하는_피해': 0.98}, '궁극기_주문서': {'받는_피해': 0.95}}",원거리,2018-12-05,V8.24,V25.13,"{집중형 마법사, 포획형}","{미드, 서포터}","{미드, 서포터}",3,1,3,1,1,80,마법,2400,880,{1: '태고의 마력'},{1: '꽃망울 폭발'},{1: '형상 분리'},{1: '칭칭올가미'},{1: '만개'},"['태고의 마력', '꽃망울 폭발', '형상 분리', '칭칭올가미', '만개']",,
니달리,76.0,Nidalee,야성의 사냥꾼,2,암살자,마법사,마나,"{'기본_체력': 610, '레벨당_체력': 109, '기본_자원': 295, '레벨당_자원': 45, '기본_방어력': 32, '레벨당_방어력': 5, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.45, '기본_체력_재생': 6, '레벨당_체력_재생': 0.6, '기본_자원_재생': 6, '레벨당_자원_재생': 0.8, '기본_공격력': 58, '레벨당_공격력': 3.5, '기본_공격_속도': 0.638, '레벨당_공격_속도': 3.22, '공격_사거리': 525, '이동_속도': 335, '선택_높이': 120, '선택_반경': 110, '충돌_반경': 35, '공격_속도_계수': 0.638000011444091, '공격_지연_보정': -0.150000005960464, '투사체_속도': 2500, '무작위_총력전': {'가하는_피해': 1.1}, '돌격_넥서스': {'가하는_피해': 1.05, '받는_피해': 0.9, '회복량': 1.1, '보호막량': 1.1}, '단일_챔피언': {'가하는_피해': 1.07, '받는_피해': 0.95}, '신속_모드': {'레벨당_체력': 15}, '초고속_모드': {'가하는_피해': 1.05, '받는_피해': 0.95}, '궁극기_주문서': {'가하는_피해': 1.05, '받는_피해': 0.95, '회복량': 1.2}}",원거리,2009-12-17,V1.0.0.63,V25.13,{전문가},{정글},{정글},3,1,1,3,2,75,마법,1575,790,{1: '수풀 배회'},"{1: '창 투척', 2: '숨통 끊기'}","{1: '매복 덫', 2: '급습'}","{1: '태고의 생명력', 2: '할퀴기'}","{1: '쿠거의 상', 2: '쿠거의 상 (변형 2)'}","['수풀 배회', '창 투척', '숨통 끊기', '매복 덫', '급습', '태고의 생명력', '할퀴기', '쿠거의 상', '쿠거의 상 (변형 2)']",,
닐라,895.0,Nilah,해방된 기쁨,3,전사,암살자,마나,"{'기본_체력': 570, '레벨당_체력': 101, '기본_자원': 350, '레벨당_자원': 35, '기본_방어력': 27, '레벨당_방어력': 4.5, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 6, '레벨당_체력_재생': 0.9, '기본_자원_재생': 8.2, '레벨당_자원_재생': 0.7, '기본_공격력': 58, '레벨당_공격력': 2, '기본_공격_속도': 0.697, '레벨당_공격_속도': 3, '공격_사거리': 225, '이동_속도': 340, '탐색_반경': 400, '선택_높이': 180, '선택_반경': 120, '충돌_반경': 32, '공격_속도_계수': 0.67, '공격_지연_보정': -0.08, '무작위_총력전': {'가하는_피해': 1, '회복량': 1}, '신속_모드': {'레벨당_공격_속도': -0.6}}",근접,2022-07-13,V12.13,V14.21,{척후병},{바텀},{바텀},3,1,1,3,2,25,물리,2400,880,{1: '영원한 기쁨'},{1: '무형의 검'},{1: '승리의 장막'},{1: '급류'},{1: '환희'},"['영원한 기쁨', '무형의 검', '승리의 장막', '급류', '환희']",,
녹턴,56.0,Nocturne,영원한 악몽,1,전사,암살자,마나,"{'기본_체력': 655, '레벨당_체력': 109, '기본_자원': 275, '레벨당_자원': 35, '기본_방어력': 38, '레벨당_방어력': 4.7, '기본_마법_저항력': 32, '레벨당_마법_저항력': 1.55, '기본_체력_재생': 7, '레벨당_체력_재생': 0.75, '기본_자원_재생': 7, '레벨당_자원_재생': 0.45, '기본_공격력': 62, '레벨당_공격력': 2.6, '기본_공격_속도': 0.721, '레벨당_공격_속도': 2.7, '공격_사거리': 125, '이동_속도': 345, '탐색_반경': 600, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.721, '공격_지연_보정': -0.0994652435183525, '무작위_총력전': {'가하는_피해': 1.1, '받는_피해': 0.9, '회복량': 1.2}, '단일_챔피언': {'가하는_피해': 0.95}, '초고속_모드': {'가하는_피해': 0.95, '받는_피해': 1}}",근접,2011-03-15,V1.0.0.113,V25.10,{암살자},{정글},{정글},3,1,2,2,2,30,물리,1575,790,{1: '그림자 칼날'},{1: '황혼의 인도자'},{1: '어둠의 장막'},{1: '말할 수 없는 공포'},{1: '피해망상'},"['그림자 칼날', '황혼의 인도자', '어둠의 장막', '말할 수 없는 공포', '피해망상']",,
누누와 윌럼프,20.0,Nunu,소년과 설인,1,탱커,마법사,마나,"{'기본_체력': 610, '레벨당_체력': 90, '기본_자원': 280, '레벨당_자원': 42, '기본_방어력': 29, '레벨당_방어력': 4.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 5, '레벨당_체력_재생': 0.8, '기본_자원_재생': 7, '레벨당_자원_재생': 0.5, '기본_공격력': 61, '레벨당_공격력': 3, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2.25, '공격_사거리': 125, '이동_속도': 345, '탐색_반경': 600, '선택_높이': 170, '선택_반경': 140, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_지연_보정': -0.106413997709751, '무작위_총력전': {'가하는_피해': 1.1, '받는_피해': 0.9, '회복량': 1.1, '보호막량': 1.2, '강인함': 1.2}, '돌격_넥서스': {'가하는_피해': 1.1, '받는_피해': 0.9, '스킬_가속': 20}, '단일_챔피언': {'가하는_피해': 1.05, '받는_피해': 0.92, '회복량': 1.05, '보호막량': 1.2}, '초고속_모드': {'가하는_피해': 1.08, '받는_피해': 0.95}, '궁극기_주문서': {'가하는_피해': 1.05, '받는_피해': 0.95, '회복량': 1.2}}",근접,2009-02-21,Alpha Week 2,V25.09,{선봉대},{정글},{정글},1,3,2,1,2,80,마법,225,260,{1: '프렐요드의 부름'},{1: '잡아먹기'},{1: '데굴데굴 눈덩이!'},{1: '눈덩이 팡팡팡'},{1: '절대 영도'},"['프렐요드의 부름', '잡아먹기', '데굴데굴 눈덩이!', '눈덩이 팡팡팡', '절대 영도']",누누와 윌럼프,
올라프,2.0,Olaf,광전사,1,전사,탱커,마나,"{'기본_체력': 645, '레벨당_체력': 119, '기본_자원': 316, '레벨당_자원': 50, '기본_방어력': 35, '레벨당_방어력': 4.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 6.5, '레벨당_체력_재생': 0.6, '기본_자원_재생': 7.5, '레벨당_자원_재생': 0.6, '기본_공격력': 68, '레벨당_공격력': 4.7, '기본_공격_속도': 0.694, '레벨당_공격_속도': 2.7, '공격_사거리': 125, '이동_속도': 350, '탐색_반경': 400, '선택_높이': 191.6667022705078, '선택_반경': 111.111099243164, '충돌_반경': 35, '공격_속도_계수': 0.694000005722045, '공격_지연_보정': -0.0656249970197677, '무작위_총력전': {'가하는_피해': 1.05}}",근접,2010-06-09,V1.0.0.87,V25.07,{기동형 전사},{탑},{탑},2,2,2,1,1,30,물리,1575,790,{1: '광전사의 분노'},{1: '역류'},{1: '버티기'},{1: '무모한 강타'},{1: '라그나로크'},"['광전사의 분노', '역류', '버티기', '무모한 강타', '라그나로크']",,
오리아나,61.0,Orianna,시계태엽 소녀,3,마법사,서포터,마나,"{'기본_체력': 585, '레벨당_체력': 110, '기본_자원': 418, '레벨당_자원': 25, '기본_방어력': 20, '레벨당_방어력': 4.2, '기본_마법_저항력': 26, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 7, '레벨당_체력_재생': 0.55, '기본_자원_재생': 8, '레벨당_자원_재생': 0.8, '기본_공격력': 44, '레벨당_공격력': 2.6, '기본_공격_속도': 0.658, '레벨당_공격_속도': 3.5, '공격_사거리': 525, '이동_속도': 325, '탐색_반경': 525, '선택_높이': 140, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.657999992370605, '공격_지연_보정': -0.124561406672, '투사체_속도': 1500, '아레나': {'레벨당_체력': 15}, '초고속_모드': {'가하는_피해': 0.9, '받는_피해': 1.1, '보호막량': 0.8}}",원거리,2011-06-01,V1.0.0.119,V25.09,{집중형 마법사},{미드},{미드},2,1,2,1,2,90,마법,2400,880,"{1: '시계태엽 감기', 2: '시계태엽 감기 (변형 2)'}",{1: '명령: 공격'},{1: '명령: 불협화음'},{1: '명령: 보호'},{1: '명령: 충격파'},"['시계태엽 감기', '시계태엽 감기 (변형 2)', '명령: 공격', '명령: 불협화음', '명령: 보호', '명령: 충격파']",오리아나 레벡,
오른,516.0,Ornn,거산 아래의 화염,2,탱커,전사,마나,"{'기본_체력': 660, '레벨당_체력': 109, '기본_자원': 341, '레벨당_자원': 65, '기본_방어력': 33, '레벨당_방어력': 5.2, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 9, '레벨당_체력_재생': 0.9, '기본_자원_재생': 8, '레벨당_자원_재생': 0.6, '기본_공격력': 69, '레벨당_공격력': 3.5, '기본_공격_속도': 0.625, '레벨당_공격_속도': 2, '공격_사거리': 175, '이동_속도': 335, '탐색_반경': 600, '선택_높이': 155, '선택_반경': 125, '충돌_반경': 25.7665996551513, '게임플레이_반경': 80, '공격_속도_계수': 0.625, '공격_시전_시간': 0.349999994039535, '총_공격_시간': 1.60000002384185, '무작위_총력전': {'가하는_피해': 0.9, '받는_피해': 1.05}, '초고속_모드': {'가하는_피해': 1.05, '받는_피해': 0.95}}",근접,2017-08-23,V7.17,V25.02,{선봉대},{탑},{탑},1,3,3,1,2,60,물리,2400,880,"{1: '간이 대장간', 2: '간이 대장간 (변형 2)'}",{1: '용암 균열'},{1: '불꽃 풀무질'},{1: '화염 돌진'},{1: '대장장이 신의 부름'},"['간이 대장간', '간이 대장간 (변형 2)', '용암 균열', '불꽃 풀무질', '화염 돌진', '대장장이 신의 부름']",,
판테온,80.0,Pantheon,불굴의 창,1,전사,암살자,마나,"{'기본_체력': 650, '레벨당_체력': 109, '기본_자원': 317, '레벨당_자원': 31, '기본_방어력': 40, '레벨당_방어력': 4.95, '기본_마법_저항력': 28, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 6, '레벨당_체력_재생': 0.65, '기본_자원_재생': 7.35, '레벨당_자원_재생': 0.45, '기본_공격력': 64, '레벨당_공격력': 3.3, '기본_공격_속도': 0.658, '레벨당_공격_속도': 2.95, '공격_사거리': 175, '이동_속도': 345, '탐색_반경': 600, '선택_높이': 175, '선택_반경': 125, '충돌_반경': 35, '공격_속도_계수': 0.658, '공격_지연_보정': -0.109687499701976, '무작위_총력전': {'가하는_피해': 1, '받는_피해': 1}, '아레나': {'레벨당_체력': 11}, '단일_챔피언': {'가하는_피해': 0.98, '받는_피해': 1.02}}",근접,2010-02-02,V1.0.0.72,V14.20,{기동형 전사},"{서포터, 탑}","{미드, 서포터, 정글, 탑}",3,2,2,2,1,75,물리,675,585,{1: '필멸자의 의지'},{1: '혜성의 창'},{1: '방호의 도약'},{1: '방패 돌격'},{1: '거대 유성'},"['필멸자의 의지', '혜성의 창', '방호의 도약', '방패 돌격', '거대 유성']",아트레우스,
뽀삐,78.0,Poppy,망치의 수호자,2,탱커,전사,마나,"{'기본_체력': 610, '레벨당_체력': 110, '기본_자원': 280, '레벨당_자원': 40, '기본_방어력': 35, '레벨당_방어력': 5, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8, '레벨당_체력_재생': 0.8, '기본_자원_재생': 7, '레벨당_자원_재생': 0.7, '기본_공격력': 60, '레벨당_공격력': 4, '기본_공격_속도': 0.658, '레벨당_공격_속도': 2.5, '공격_사거리': 125, '이동_속도': 345, '탐색_반경': 400, '선택_높이': 115, '선택_반경': 100, '충돌_반경': 35, '게임플레이_반경': 55, '공격_속도_계수': 0.625, '공격_시전_시간': 0.375, '총_공격_시간': 1.60000002384185}",근접,2010-01-13,V1.0.0.70,V25.09,{수비형 탱커},"{정글, 탑}","{정글, 탑}",2,3,3,2,1,75,물리,225,260,"{1: '강철의 외교관', 2: '강철의 외교관 (변형 2)'}",{1: '망치 강타'},"{1: '굳건한 태세', 2: '굳건한 태세 (변형 2)'}",{1: '용감한 돌진'},{1: '수호자의 심판'},"['강철의 외교관', '강철의 외교관 (변형 2)', '망치 강타', '굳건한 태세', '굳건한 태세 (변형 2)', '용감한 돌진', '수호자의 심판']",,
파이크,555.0,Pyke,핏빛 항구의 학살자,2,서포터,암살자,마나,"{'기본_체력': 670, '레벨당_체력': 110, '기본_자원': 415, '레벨당_자원': 50, '기본_방어력': 43, '레벨당_방어력': 4.7, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 7, '레벨당_체력_재생': 0.5, '기본_자원_재생': 8, '레벨당_자원_재생': 1, '기본_공격력': 62, '레벨당_공격력': 2, '기본_공격_속도': 0.667, '레벨당_공격_속도': 2.5, '공격_사거리': 150, '이동_속도': 330, '탐색_반경': 400, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.666999995708465, '공격_시전_시간': 0.300000011920928, '총_공격_시간': 1.5, '무작위_총력전': {'가하는_피해': 1.1, '받는_피해': 0.9, '강인함': 1.2}, '아레나': {'기본_체력': 70, '레벨당_체력': 15}, '돌격_넥서스': {'가하는_피해': 1.05, '받는_피해': 1}, '단일_챔피언': {'받는_피해': 0.95}, '초고속_모드': {'가하는_피해': 1, '받는_피해': 0.95}}",근접,2018-05-31,V8.11,V25.11,"{암살자, 포획형}",{서포터},{서포터},2,1,3,3,1,50,물리,1575,790,{1: '가라앉은 자들의 축복'},{1: '뼈 작살'},{1: '유령 잠수'},{1: '망자의 물살'},"{1: '깊은 바다의 처형', 2: '깊은 바다의 처형 (변형 2)'}","['가라앉은 자들의 축복', '뼈 작살', '유령 잠수', '망자의 물살', '깊은 바다의 처형', '깊은 바다의 처형 (변형 2)']",,
키아나,246.0,Qiyana,원소의 여왕,3,암살자,전사,마나,"{'기본_체력': 590, '레벨당_체력': 124, '기본_자원': 375, '레벨당_자원': 60, '기본_방어력': 31, '레벨당_방어력': 4.7, '기본_마법_저항력': 32, '레벨당_마법_저항력': 2.05, '기본_체력_재생': 8, '레벨당_체력_재생': 0.9, '기본_자원_재생': 8, '레벨당_자원_재생': 0.7, '기본_공격력': 66, '레벨당_공격력': 3.1, '기본_공격_속도': 0.688, '레벨당_공격_속도': 2.1, '공격_사거리': 150, '이동_속도': 335, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.625, '공격_시전_시간': 0.230000004172325, '총_공격_시간': 1.5, '무작위_총력전': {'가하는_피해': 1.15, '받는_피해': 0.9, '강인함': 1.2}, '단일_챔피언': {'가하는_피해': 1.05, '받는_피해': 0.92}, '신속_모드': {'기본_체력': 30}, '초고속_모드': {'가하는_피해': 1, '받는_피해': 0.9}}",근접,2019-06-28,V9.13,V14.21,{암살자},{미드},{미드},3,1,2,2,1,70,물리,2400,880,{1: '왕가의 특권'},"{1: '원소의 분노', 2: '이쉬탈의 칼날'}",{1: '대지창조'},{1: '대담무쌍'},{1: '여왕의 진가'},"['왕가의 특권', '원소의 분노', '이쉬탈의 칼날', '대지창조', '대담무쌍', '여왕의 진가']",,
퀸,133.0,Quinn,데마시아의 날개,2,원거리 딜러,암살자,마나,"{'기본_체력': 565, '레벨당_체력': 107, '기본_자원': 269, '레벨당_자원': 35, '기본_방어력': 28, '레벨당_방어력': 4.7, '기본_마법_저항력': 30, '레벨당_마법_저항력': 1.3, '기본_체력_재생': 5.5, '레벨당_체력_재생': 0.55, '기본_자원_재생': 7, '레벨당_자원_재생': 0.4, '기본_공격력': 59, '레벨당_공격력': 2.7, '기본_공격_속도': 0.668, '레벨당_공격_속도': 3.1, '공격_사거리': 525, '이동_속도': 330, '선택_높이': 155, '선택_반경': 120, '충돌_반경': 35, '공격_속도_계수': 0.667999982833862, '공격_지연_보정': -0.12456139922142, '투사체_속도': 2000, '무작위_총력전': {'총_공격_속도': 1.025, '가하는_피해': 1.1, '받는_피해': 0.9, '강인함': 1.2}, '아레나': {'레벨당_체력': 15, '레벨당_공격력': 1}, '초고속_모드': {'가하는_피해': 1, '받는_피해': 0.95}}",원거리,2013-03-01,V3.03,V25.03,{전문가},{탑},{탑},3,1,2,3,1,20,물리,2400,880,{1: '매사냥 표식'},{1: '실명 공격'},{1: '예리한 감각'},{1: '공중제비'},"{1: '후방 지원', 2: '후방 지원 (변형 2)'}","['매사냥 표식', '실명 공격', '예리한 감각', '공중제비', '후방 지원', '후방 지원 (변형 2)']",퀸과 발러,
